movie_id,movie_name,year,cast
tt6692354,Ittefaq,2017,"Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna, Mandira Bedi"
tt4832640,Sultan,2016,"Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh"
tt4110568,Dil Dhadakne Do,2015,"Anil Kapoor, Shefali Shah, Priyanka Chopra Jonas, Ranveer Singh"
tt10644708,Dhokha: Round D Corner,2022,"Madhavan, Khushali Kumar, Aparshakti Khurana, Darshan Kumaar"
tt3702652,The Other Side of the Door,2016,"Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky, Logan Creran"
tt6978268,Omerta,2017,"Rajkummar Rao, Rajesh Tailang, Satwant Kaur, Abhimanue Kamboj"
tt0379370,Maqbool,2003,"Irrfan Khan, Tabu, Pankaj Kapur, Naseeruddin Shah"
tt0195231,Satya,1998,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar, Paresh Rawal"
tt11112808,Cirkus,2022,"Ranveer Singh, Varun Sharma, Pooja Hegde, Jacqueline Fernandez"
tt15392282,Merry Christmas,2023,"Vijay Sethupathi, Katrina Kaif, Radhika Apte, Ashwini Kalsekar"
tt3678782,Badlapur,2015,"Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam, Huma Qureshi"
tt3477214,Kaun Kitney Paani Mein,2015,"Kunal Kapoor, Radhika Apte, Saurabh Shukla, Gulshan Grover"
tt7919680,Karwaan,2018,"Irrfan Khan, Dulquer Salmaan, Mithila Palkar, Amala Akkineni"
tt2806788,Fukrey,2013,"Pulkit Samrat, Manjot Singh, Ali Fazal, Varun Sharma"
tt15257644,Mili,2022,"Janhvi Kapoor, Manoj Pahwa, Sunny Kaushal, Deepak Simwal"
tt2882328,Ugly,2013,"Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh"
tt1182937,Rab Ne Bana Di Jodi,2008,"Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina"
